category,subcategory,amount
Home Furnishings,Wall and Window Covering,113
Home Furnishings,Ornaments,66
Home Furnishings,Appliances,183
Home Furnishings,Linen,1774
Home Furnishings,Floor Covering,48
Home Furnishings,All Other Furnishings,721
Home Furnishings,Dishware,887
Sports Equipment,Bats,20
Sports Equipment,Scooter,129
Sports Equipment,Golf Club,7
Sports Equipment,Ball,373
Sports Equipment,Skateboard,118
Sports Equipment,Binocular,32
Sports Equipment,Electric Motor Scooter,3
Sports Equipment,Protective Gear,544
Sports Equipment,Hockey Stick,11
Sports Equipment,Sports Racket,184
Sports Equipment,Bicycle,275
Sports Equipment,Skis,3
Sports Equipment,All Other sports equipment,716
Tools,Tools,1739
Tools,Tool Box,129
Tools,Tool Belt,37
Musical Instrument,Flute,122
Musical Instrument,Musical instrument accessories,91
Musical Instrument,Clarinet,103
Musical Instrument,All Other Instruments,166
Musical Instrument,Guitar,67
Musical Instrument,Violin,136
Musical Instrument,Harmonica,12
Musical Instrument,Saxophone,49
Musical Instrument,Trumpet,110
NYCT Equipment,Vest,23
NYCT Equipment,Badge,76
NYCT Equipment,Radio,11
NYCT Equipment,Pass or Badge holder,20
NYCT Equipment,All other NYCT Equipment,95
NYCT Equipment,Epic pass,550
Toys,Baby Toys,217
Toys,All Other Toys,991
Toys,Board Game,126
Toys,Doll,264
Toys,Cars/Trucks,294
Toys,Stuffed Animals,417
Entertainment,Video Games System,543
Entertainment,All Other Entertainment,370
Entertainment,VHS Tape,122
Entertainment,DVD,1277
Entertainment,Blu-Ray,12
Entertainment,Computer Games,433
Entertainment,Compact Disc,1030
Footwear,Shoes,3160
Footwear,Boots,1144
Footwear,Slipper,814
Footwear,Sandals,704
Footwear,Galoshes,48
Footwear,All Other Footwear,224
Footwear,Sneakers,3420
